"Номер в оригинальном списке " Name "Corotation rad" Единицы "Ошибка снизу" "Ошибка сверху" "Dist, Mpc" Data "Pattern speed, (km/s/kpc)" "Ошибка снизу" "Ошибка сверху" "Это бар?" Method Ссылка
" "NaN
" "NaN
" 0 0 "NaN
" "Vera-Villamizar et al. (2003)
" "https://ui.adsabs.harvard.edu/abs/2003RMxAC..17..201V/abstract
"
[93] "NGC 7479" 45 arcsec 0.00 0.00 "32
(Mpc)" "CO, H I
" "100
(km/s/kpc)" 0 0 "да
" "Quillen et al. (1995)
" "https://ui.adsabs.harvard.edu/abs/1995ApJ...441..549Q/abstract
"
[91] "NGC 7479" 23 arcsec 0.00 0.00 "NaN
" "H II
" "NaN
" 0 0 "нет
" "Puerari & Dottori (1997) 
" "https://ui.adsabs.harvard.edu/abs/1997ApJ...476L..73P/abstract
"
[91] "NGC 7479" 55 arcsec 0.00 0.00 "NaN
" "H II
" "NaN
" 0 0 "да
" "Puerari & Dottori (1997) 
" "https://ui.adsabs.harvard.edu/abs/1997ApJ...476L..73P/abstract
"
             
             
             
             
             
             
             
             
             
